Unique Entry ID,Name,Catalog,Source,Source Notes,Seasonal Availability,Buy,Genuine,Item Type,Rarity
FNxEraBTeWRiCvtFu,3D glasses,For sale,Able Sisters,Available from Able Sisters shop only,All Year,490,Not Applicable,accessories,Common
mM9SXPCcGPfPJAmtm,3D glasses,For sale,Able Sisters,Available from Able Sisters shop only,All Year,490,Not Applicable,accessories,Common
2qFT5iPkk8bREvpkj,bandage,For sale,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,140,Not Applicable,accessories,Common
T5CpsJi4xBSachNL5,beak,For sale,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,490,Not Applicable,accessories,Common
S6CiB9ZvzBTMhEnDz,birthday shades,Not for sale,Birthday,,All Year,NFS,Not Applicable,accessories,Scarce
g3MPcmAKM4z5h8KYX,birthday shades,Not for sale,Birthday,,All Year,NFS,Not Applicable,accessories,Scarce
ojXoAAj8Bs2XgRiWB,birthday shades,Not for sale,Birthday,,All Year,NFS,Not Applicable,accessories,Scarce
Yr9mRJaZM44554oTS,birthday shades,Not for sale,Birthday,,All Year,NFS,Not Applicable,accessories,Scarce
ZHqtvcoqqDpJLf9Pc,bottom-rimmed glasses,For sale,Able Sisters,Available from Able Sisters shop only,All Year,1100,Not Applicable,accessories,Common
akRhFD3qeJEPM7WiD,bottom-rimmed glasses,For sale,Able Sisters,Available from Able Sisters shop only,All Year,1100,Not Applicable,accessories,Common
EtxJZDCgnqjWkETqK,bottom-rimmed glasses,For sale,Able Sisters,Available from Able Sisters shop only,All Year,1100,Not Applicable,accessories,Common
LEbiXtkHoiEMEtjWK,bottom-rimmed glasses,For sale,Able Sisters,Available from Able Sisters shop only,All Year,1100,Not Applicable,accessories,Common
w7bEbAGSQTvur6D6f,bottom-rimmed glasses,For sale,Able Sisters,Available from Able Sisters shop only,All Year,1100,Not Applicable,accessories,Common
zpzD4NjApEyazKyKt,bottom-rimmed glasses,For sale,Able Sisters,Available from Able Sisters shop only,All Year,1100,Not Applicable,accessories,Common
eT6KLntq43nCGFvB9,bottom-rimmed glasses,For sale,Able Sisters,Available from Able Sisters shop only,All Year,1100,Not Applicable,accessories,Common
gHxascFKEJNrLCtD9,browline glasses,For sale,Able Sisters,Available from Able Sisters shop only,All Year,1040,Not Applicable,accessories,Common
9iqmzMJiAeQMBN3pk,browline glasses,For sale,Able Sisters,Available from Able Sisters shop only,All Year,1040,Not Applicable,accessories,Common
f6h8aqEufzizYBWiH,browline glasses,For sale,Able Sisters,Available from Able Sisters shop only,All Year,1040,Not Applicable,accessories,Common
R9rDoMEzPcBw75hLE,browline glasses,For sale,Able Sisters,Available from Able Sisters shop only,All Year,1040,Not Applicable,accessories,Common
4SLmXuCkS4eBjPbLn,bubblegum,For sale,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,140,Not Applicable,accessories,Common
9wWYKTtMdo9pWqfsM,bubblegum,For sale,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,140,Not Applicable,accessories,Common
79zoWzHvMBJYcwuAy,bubblegum,For sale,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,140,Not Applicable,accessories,Common
F3PoMop5MGyaxtKjZ,bubblegum,For sale,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,140,Not Applicable,accessories,Common
r9N2a2TYhvXBKiihn,bubblegum,For sale,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,140,Not Applicable,accessories,Common
bxWYgcp2YKCdKe8Cr,bunny nose,For sale,Able Sisters,Available from Able Sisters shop only,All Year,560,Not Applicable,accessories,Common
y6Dp62aNQn5ixvkwf,bunny nose,For sale,Able Sisters,Available from Able Sisters shop only,All Year,560,Not Applicable,accessories,Common
ci8RKqDmqS5wD3W5k,bunny nose,For sale,Able Sisters,Available from Able Sisters shop only,All Year,560,Not Applicable,accessories,Common
WjbaLp9JbBGYRrb6K,butterfly shades,For sale,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1040,Not Applicable,accessories,Common
AZrrNvHghPTHobKL4,butterfly shades,For sale,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1040,Not Applicable,accessories,Common
rz3Pgs5XGNiQFa3t4,butterfly shades,For sale,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1040,Not Applicable,accessories,Common
GT3LzQZKg29riohcP,candy-skull mask,Not for sale,Gulliver,,All Year,NFS,Not Applicable,accessories,Rare
xyQdqFuAkXkNs9qQ5,candy-skull mask,Not for sale,Gulliver,,All Year,NFS,Not Applicable,accessories,Rare
fev4af8sNdggceyW9,candy-skull mask,Not for sale,Gulliver,,All Year,NFS,Not Applicable,accessories,Rare
45Muns9ig4dqrsFF7,cat nose,For sale,Able Sisters,Available from Able Sisters shop only,All Year,560,Not Applicable,accessories,Common
CXDCEFzBdv8DwkCyM,cat nose,For sale,Able Sisters,Available from Able Sisters shop only,All Year,560,Not Applicable,accessories,Common
ywdWXRcwKJNMMxDyj,cat nose,For sale,Able Sisters,Available from Able Sisters shop only,All Year,560,Not Applicable,accessories,Common
MhbCBrYX5fHxZWDuA,cucumber pack,For sale,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,490,Not Applicable,accessories,Common
9tyCrNPeibcu5NLo8,curly mustache,For sale,Able Sisters,Available from Able Sisters shop only,All Year,700,Not Applicable,accessories,Common
3YPuxxPLkzwwNQMQd,cyber shades,For sale,Able Sisters,Available from Able Sisters shop only,All Year,1300,Not Applicable,accessories,Common
